description,category
pizza hut,Food
uber ride,Travel
petrol,Transport
amazon order,Shopping
mcdonalds burger,Food
grocery supermarket,Food
zomato delivery,Food
swiggy,Food
ola cab,Travel
flight tickets,Travel
train booking,Travel
bus pass,Travel
diesel,Transport
fuel station,Transport
flipkart,Shopping
myntra clothes,Shopping
shoes store,Shopping
electricity bill,Bills
water utility,Bills
wifi internet,Bills
house rent,Bills
phone recharge,Bills
starbucks coffee,Food
kfc chicken,Food
blinkit groceries,Food
zepto,Food
makemytrip flight,Travel
irctc train,Travel
redbus,Travel
hp petrol pump,Transport
indian oil fuel,Transport
bharat petroleum,Transport
ajio clothes,Shopping
zara,Shopping
hm store,Shopping
bescom electricity,Bills
airtel wifi,Bills
jio recharge,Bills
act fibernet,Bills
owner rent,Bills
store blinkit,Food
weekly grocery,Food
dining,Food
food delivery subscription,Food
ticket for grocery,Food
recharge ice cream,Food
bill for breakfast charge,Food
breakfast,Food
weekly dining,Food
recharge snacks,Food
dairy,Food
paid for subway payment,Food
ticket for pizza,Food
online snacks order,Food
trip to zepto expense,Food
instamart,Food
ordered ice cream charge,Food
bill for dining,Food
ordered cafe,Food
monthly zomato,Food
monthly grocery charge,Food
cafe,Food
ubereats,Food
supermarket,Food
kfc,Food
kfc charge,Food
snacks,Food
subway bill,Food
food delivery purchase,Food
zepto charge,Food
zepto expense,Food
fruits,Food
dominos bill,Food
starbucks,Food
bakery charge,Food
swiggy order,Food
burger subscription,Food
pizza,Food
bakery,Food
store dominos,Food
recharge vegetables expense,Food
weekly subway,Food
mcdonalds charge,Food
store breakfast,Food
vegetables,Food
store supermarket,Food
dairy bill,Food
bill for pizza subscription,Food
bill for vegetables,Food
weekly dinner subscription,Food
bill for meat purchase,Food
weekly lunch,Food
bill for mcdonalds,Food
ticket for burger bill,Food
burger,Food
instamart charge,Food
ticket for supermarket expense,Food
bill for swiggy purchase,Food
pizza payment,Food
zomato,Food
online supermarket purchase,Food
store bakery,Food
dominos,Food
online dining,Food
store meat order,Food
instamart expense,Food
trip to dinner,Food
mcdonalds,Food
monthly dinner purchase,Food
online blinkit bill,Food
recharge dining subscription,Food
coffee,Food
bill for restaurant,Food
monthly food delivery,Food
trip to zepto bill,Food
dominos order,Food
ticket for swiggy subscription,Food
weekly ubereats order,Food
online cafe payment,Food
weekly snacks charge,Food
online lunch,Food
store fruits,Food
recharge grocery order,Food
paid for starbucks expense,Food
recharge zomato subscription,Food
monthly fruits expense,Food
paid for pizza order,Food
restaurant,Food
meat bill,Food
store pizza order,Food
recharge zomato,Food
dinner,Food
store restaurant,Food
store subway expense,Food
subway,Food
recharge restaurant,Food
bakery order,Food
monthly subway,Food
monthly ice cream,Food
meat,Food
kfc payment,Food
store food delivery bill,Food
weekly kfc subscription,Food
snacks order,Food
recharge zomato order,Food
paid for starbucks,Food
trip to kfc charge,Food
store coffee,Food
dominos expense,Food
blinkit bill,Food
dominos payment,Food
supermarket charge,Food
online zomato expense,Food
ordered ice cream subscription,Food
biriyani rice,Food
lunch at cafe,Food
trip to airbnb,Travel
holiday,Travel
airbnb,Travel
yatra,Travel
trip to cleartrip,Travel
bus ticket,Travel
bill for uber intercity purchase,Travel
monthly cleartrip purchase,Travel
online redbus,Travel
indigo order,Travel
goibibo,Travel
paid for holiday charge,Travel
yatra payment,Travel
bus ticket purchase,Travel
cleartrip,Travel
yatra charge,Travel
airbnb payment,Travel
paid for redbus expense,Travel
irctc,Travel
paid for goibibo,Travel
trip to redbus,Travel
paid for air india,Travel
trip to goibibo charge,Travel
ordered ola outstation order,Travel
ordered trip,Travel
ticket for booking,Travel
ordered cleartrip,Travel
recharge cleartrip charge,Travel
ticket for yatra,Travel
monthly hotel purchase,Travel
online flight,Travel
monthly uber intercity payment,Travel
weekly trip payment,Travel
ola outstation,Travel
ticket for cleartrip subscription,Travel
hotel charge,Travel
ticket for hotel,Travel
recharge uber intercity,Travel
recharge uber intercity bill,Travel
store vacation purchase,Travel
trip to cleartrip payment,Travel
spicejet,Travel
uber intercity subscription,Travel
flight,Travel
weekly airbnb,Travel
air india,Travel
ticket for holiday charge,Travel
bus ticket order,Travel
train,Travel
uber intercity,Travel
online yatra,Travel
trip charge,Travel
trip to booking,Travel
weekly indigo bill,Travel
ticket for makemytrip bill,Travel
indigo,Travel
ticket for irctc,Travel
trip purchase,Travel
ordered flight bill,Travel
makemytrip charge,Travel
indigo bill,Travel
store yatra charge,Travel
ticket for airbnb,Travel
weekly makemytrip bill,Travel
ticket for goibibo order,Travel
trip order,Travel
ticket for vacation,Travel
ordered irctc,Travel
trip to makemytrip,Travel
irctc order,Travel
ordered yatra subscription,Travel
yatra purchase,Travel
holiday expense,Travel
yatra order,Travel
recharge trip,Travel
online cleartrip order,Travel
paid for cleartrip purchase,Travel
cleartrip purchase,Travel
bill for train purchase,Travel
trip,Travel
bill for booking,Travel
ticket for trip charge,Travel
vacation,Travel
monthly holiday payment,Travel
bill for irctc order,Travel
online spicejet,Travel
holiday charge,Travel
online resort order,Travel
trip to train,Travel
monthly vacation,Travel
indigo payment,Travel
hotel subscription,Travel
vistara expense,Travel
train payment,Travel
recharge holiday,Travel
hotel,Travel
resort expense,Travel
trip to goibibo expense,Travel
airbnb charge,Travel
trip to air india,Travel
ola outstation purchase,Travel
recharge vacation expense,Travel
vistara bill,Travel
trip to train expense,Travel
train subscription,Travel
ticket for vistara bill,Travel
trip payment,Travel
makemytrip payment,Travel
vacation expense,Travel
makemytrip bill,Travel
irctc subscription,Travel
airbnb expense,Travel
weekly trip,Travel
goibibo bill,Travel
irctc payment,Travel
ordered spicejet,Travel
bill for hotel,Travel
ola outstation subscription,Travel
trip to uber intercity,Travel
store ola outstation expense,Travel
store train,Travel
bill for bus ticket,Travel
air india expense,Travel
trip to uber expense,Transport
online cng order,Transport
toll,Transport
monthly scooter rent,Transport
bill for metro card purchase,Transport
